Latitude,Longitude
30.931813283548703,-97.99907631825798
65.93827600882376,-166.94103531149477
35.21620123391338,-87.63020728710617
41.830498523916944,-108.96135346949872
59.47131985059211,-150.79301314210926
69.87977600813714,-149.74101076045818
43.91732138626426,-71.15208971430873
65.66468127804087,-154.99139887303548
35.383511902997874,-107.49686587149208
34.056303805454064,-109.55260776431662
41.381070115892655,-114.02664269522613
66.56727620665619,-148.2579815578855
36.06488780368706,-80.59967853261968
44.838478890044215,-90.02643518999331
48.23296814493972,-120.124493748199
33.66001707770576,-83.88123093282715
38.62581738374281,-81.6259874314336
45.00741768695187,-89.8026261073446
54.173954921930786,-165.56769383568886
41.53284517691601,-91.74661800400268
36.864895298637606,-115.54975082952136
45.63137554457677,-112.50141145541626
63.35570904697599,-145.12845719425115
48.93522254108993,-120.3413741938306
65.45722824542027,-159.32226006513665
70.45643566437583,-154.48404883602038
45.19194380151206,-108.05804137867116
38.296121871442296,-88.27634587246598
46.74484269067574,-107.43204310482427
36.18782665186703,-78.43541199389227
37.92305607908244,-105.5911655156769
35.24795046086284,-102.10331877204203
61.761303046676005,-144.81172708162043
36.225168993951115,-108.46017265237617
46.00801928303716,-92.02866019580718
41.82073792990096,-115.64922262577142
38.80983241787243,-111.17396867182903
27.479507905921018,-98.70929446361176
26.665320946087732,-97.64932889439805
38.75517249206764,-88.07330776752015
41.66319097245653,-106.4856419537534
29.686973645917718,-97.52906954195306
66.85038409949064,-142.99216852405996
43.56051554192598,-71.46475134616803
37.182220616561274,-83.75096536143162
40.306508105330416,-88.8574812361841
65.51591321403747,-159.47135645583697
37.815097252776525,-90.81538147558427
44.16192256721277,-100.83617937174651
70.29840012935013,-150.50046950215312
60.85640622259278,-149.92192178034003
57.46082294488713,-157.48889847649826
47.359648214548685,-104.96200156610264
37.016888510277504,-120.01134503256604
41.54535192655649,-106.16001477718748
40.96193095789859,-110.01318356613858
47.80558207803529,-116.98260671205193
33.595299115437115,-111.60863396081255
35.03717752966017,-95.3144068914953
41.46113691202794,-91.32524058487427
28.78315422510131,-96.6721018826095
45.55842513699195,-113.88650969909693
34.626805228832055,-106.21715878254972
48.309734230990884,-93.61374658621246
